Pagina,Codigo,Pontos,Preco Normal,Preco Promocional,Desconto
79,116197,02 pt,"R$ 29,90",null,null
79,116203,02 pt,"R$ 23,90",null,null
79,116199,02 pt,"R$ 29,90",null,null
79,116200,null,null,null,null
79,116201,null,null,null,null
79,116195,null,null,null,null
79,116188,null,null,null,null
79,114984,null,null,null,null
79,116204,null,null,null,null
79,116193,null,null,null,null
79,119434,null,null,null,null
79,116187,null,null,null,null
79,123024,null,null,null,null
79,118918,null,null,null,null
79,118445,null,null,null,null
79,123025,null,null,null,null
79,107359,null,null,null,null
79,107364,null,null,null,null
80,67647,02 pt,R$ 27,null,null
80,110261,05 pt,"R$ 49,90",null,null
80,110262,05 pt,"R$ 49,90",null,null
80,86642,02 pt,R$ 27,null,null
80,120447,02 pt,"R$ 49,90",null,null
81,101036,03 pt,"R$ 36,90",null,null
81,101037,03 pt,R$ 37,null,null
81,65830,03 pt,"R$ 34,90",null,null
81,105026,04 pt,"R$ 41,90",null,null
81,67666,02 pt,"R$ 29,90",null,null
81,109149,03 pt,"R$ 30,90",null,null
81,109154,null,null,null,null
81,109153,null,null,null,null
81,109150,null,null,null,null
81,109151,null,null,null,null
81,109152,null,null,null,null
82,97638,02 pt,"R$ 29,9015",null,null
82,97636,02 pt,"R$ 29,90",null,null
82,97644,06 pt,"R$ 61,90",null,null
82,97646,04 pt,R$ 47,null,null
82,97640,03 pt,R$ 37,null,null
82,97642,03 pt,"R$ 38,90",null,null
82,97639,03 pt,"R$ 30,90",null,null
82,97637,03 pt,"R$ 34,90",null,null
82,104102,null,null,null,null
82,104099,null,null,null,null
82,104100,null,null,null,null
82,104101,null,null,null,null
82,102872,null,null,null,null
82,102873,null,null,null,null
82,102870,null,null,null,null
82,102871,null,null,null,null
82,97650,null,null,null,null
82,102864,null,null,null,null
82,102865,null,null,null,null
82,97648,null,null,null,null
82,102868,null,null,null,null
82,102866,null,null,null,null
82,102869,null,null,null,null
82,102867,null,null,null,null
82,16641,null,null,null,null
82,15045,null,null,null,null
82,116688,null,null,null,null
82,116689,null,null,null,null
82,116693,null,null,null,null
82,116692,null,null,null,null
82,116690,null,null,null,null
82,116691,null,null,null,null
82,116696,null,null,null,null
82,116694,null,null,null,null
82,116695,null,null,null,null
82,116698,null,null,null,null
82,116697,null,null,null,null
82,116699,null,null,null,null
83,85003,03 pt,"R$ 32,90",null,"R$ 12,00"
83,105024,03 pt,"R$ 34,90",null,null
83,117126,03 pt,"R$ 59,90",null,null
83,118910,06 pt,"R$ 39,90",null,null
83,91821,04 pt,"R$ 39,90",null,null
83,91820,04 pt,"R$ 29,90",null,null
83,90175,02 pt,"R$ 36,90",null,null
83,106554,01 pt,"R$ 12,00",null,null
83,106551,null,"R$ 18,90",null,null
83,106543,null,null,null,null
83,106535,null,null,null,null
83,106542,null,null,null,null
83,106536,null,null,null,null
83,106547,null,null,null,null
83,106544,null,null,null,null
83,106533,null,null,null,null
83,106534,null,null,null,null
83,106545,null,null,null,null
83,106553,null,null,null,null
85,69725,18 pt,"R$ 179,90",null,"R$ 24,00"
85,69726,09 pt,"R$ 93,90",null,"R$ 23,00"
85,69727,07 pt,"R$ 24,00",null,null
85,69723,18 pt,"R$ 74,90",null,null
85,69720,null,"R$ 23,00",null,null
85,69724,null,"R$ 179,90",null,null
86,131456,17 pt,"R$ 169,90",null,null
86,108636,18 pt,"R$ 179,90",null,null
86,80060,18 pt,"R$ 179,90",null,null
86,127754,17 pt,"R$ 169,90",null,null
86,108634,18 pt,"R$ 179,90",null,null
86,96735,23 pt,"R$ 229,90",null,null
86,66926,18 pt,"R$ 179,90",null,null
86,91849,18 pt,"R$ 179,90",null,null
86,91819,14 pt,"R$ 143,90",null,null
86,59373,17 pt,"R$ 169,90",null,null
87,111332,10 pt,"R$ 99,90",null,"R$ 25,00"
88,68542,10 pt,"R$ 99,90",null,"R$ 24,00"
88,69049,10 pt,R$ 107,null,null
88,89247,09 pt,"R$ 93,90",null,null
88,69726,null,"R$ 24,00",null,null
88,69727,null,null,null,null
88,69725,null,null,null,null
89,58004,14 pt,"R$ 139,90",null,null
89,57997,11 pt,"R$ 111,90",null,null
89,58002,14 pt,"R$ 139,90",null,null
89,57992,11 pt,"R$ 111,90",null,null
89,58006,14 pt,"R$ 139,90",null,null
89,57998,11 pt,"R$ 111,90",null,null
89,57986,14 pt,"R$ 139,90",null,null
89,58003,11 pt,"R$ 111,90",null,null
89,57985,null,null,null,null
89,57993,null,null,null,null
89,57999,null,null,null,null
89,58005,null,null,null,null
89,57994,null,null,null,null
89,57987,null,null,null,null
89,57996,null,null,null,null
89,57995,null,null,null,null
90,69059,07 pt,"R$ 75,90",null,null
90,69058,06 pt,"R$ 59,90",null,null
90,61263,07 pt,"R$ 75,90",null,null
90,61255,06 pt,"R$ 59,90",null,null
91,59364,07 pt,"R$ 74,90",null,"R$ 23,00"
91,59374,07 pt,"R$ 74,90",null,"R$ 23,00"
91,59363,08 pt,"R$ 23,00",null,null
91,59372,06 pt,"R$ 74,90",null,null
91,69720,07 pt,"R$ 23,00",null,null
95,147416,04 pt,"R$ 92,80",null,"R$ 28,90"
95,147446,04 pt,"R$ 28,90",null,"R$ 9,00"
95,147416,04 pt,"R$ 44,90",null,"R$ 10,00"
95,147446,04 pt,"R$ 9,00",null,"R$ 22,006"
95,147434,07 pt,R$ 47,null,null
96,147421,04 pt,"R$ 100,80",null,"R$ 30,90"
96,147444,05 pt,"R$ 30,90",null,null
97,147421,04 pt,"R$ 48,90",null,"R$ 10,00"
97,147444,05 pt,"R$ 10,00",null,"R$ 11,00"
97,147417,07 pt,"R$ 51,90",null,"R$ 22,00"
97,147427,08 pt,"R$ 11,00",null,"R$ 26,00"
98,148176,04 pt,"R$ 92,80",null,"R$ 28,90"
98,148433,04 pt,"R$ 28,90",null,null
99,148433,04 pt,R$ 67,null,"R$ 21,00"
99,148176,04 pt,"R$ 21,00",null,"R$ 10,00"
99,148449,07 pt,R$ 47,null,"R$ 9,00"
99,148410,06 pt,"R$ 10,00",null,"R$ 22,00"
100,148455,07 pt,"R$ 69,90",null,null
100,148459,07 pt,"R$ 69,90",null,null
100,148167,07 pt,"R$ 69,90",null,null
100,148166,07 pt,"R$ 69,90",null,null
101,147420,05 pt,"R$ 51,90",null,"R$ 16,00"
101,147457,08 pt,"R$ 16,00",null,"R$ 26,00"
102,147411,04 pt,"R$ 44,902.",null,null
102,147440,04 pt,R$ 47,null,null
102,147453,05 pt,"R$ 51,906.",null,null
102,147439,07 pt,"R$ 69,903.",null,null
102,147418,06 pt,R$ 67,null,null
102,147448,06 pt,R$ 67,null,null
102,147401,05 pt,"R$ 51,90",null,null
102,147404,04 pt,"R$ 44,90",null,null
102,147449,04 pt,"R$ 48,90",null,null
103,148170,04 pt,"R$ 44,902.",null,null
103,148442,04 pt,R$ 47,null,null
103,148421,07 pt,"R$ 69,903.",null,null
103,148412,06 pt,R$ 67,null,null
103,148448,13 pt,"R$ 134,90",null,null
103,148450,07 pt,"R$ 69,90",null,null
103,148158,04 pt,"R$ 44,90",null,null
103,148159,06 pt,R$ 67,null,null
104,99137,07 pt,"R$ 51,4030",null,null
104,100605,05 pt,"R$ 69,90",null,null
105,99137,07 pt,"R$ 34,95",null,null
106,99818,07 pt,"R$ 69,90",null,null
106,100383,05 pt,"R$ 51,40",null,null
106,100526,04 pt,"R$ 45,00",null,null
106,148016,03 pt,"R$ 33,90",null,null
106,100423,04 pt,R$ 47,null,null
106,95937,03 pt,"R$ 33,90",null,null
106,18979,03 pt,"R$ 33,90",null,null
106,23218,04 pt,R$ 47,null,null
106,95843,04 pt,"R$ 45,00",null,null
106,110276,06 pt,"R$ 61,90",null,null
107,111325,05 pt,"R$ 52,90",null,null
107,21307,null,"R$ 63,00.40",null,null
107,111562,null,null,null,null
108,72180,03 pt,"R$ 33,90",null,"R$ 10,30"
